=== BECKHOFF SPS VARIABLEN ===

Name: ABLAUF_LOAD_UNLOAD.E_HUBSPEED_SENKEN                         | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.E_LADESCHALE_ERREICHT                     | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_LAM_STATUS_BEREIT                       | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_NACHPLATZ_FREI                          | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_PLATZ_FREI                              | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_PORT_ERKANNT                            | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_PORT_SW_UPDATE                          | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_SPEED                                   | Typ: REAL
Name: ABLAUF_LOAD_UNLOAD.E_SPEED_BEI_RAMPE                         | Typ: REAL
Name: ABLAUF_LOAD_UNLOAD.E_SPEED_NACHLAUF                          | Typ: REAL
Name: ABLAUF_LOAD_UNLOAD.E_TIMEOUT                                 | Typ: TIME
Name: ABLAUF_LOAD_UNLOAD.E_UNLOAD_LOAD_X_POS_R                     | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.E_VORPLATZ_FREI                           | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.E_Z_POS_FAHRFREIGABE_A                    | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.E_Z_POS_HUBSAFE_A                         | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.E_Z_POS_TRANSFER_A                        | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.FN_HAND_VOR                               | Typ: F_TRIG
Name: ABLAUF_LOAD_UNLOAD.FN_HAND_ZURUECK                           | Typ: F_TRIG
Name: ABLAUF_LOAD_UNLOAD.GESCHWINDIGKEIT                           | Typ: DINT
Name: ABLAUF_LOAD_UNLOAD.HAND_GESCHWINDIGKEIT                      | Typ: DINT
Name: ABLAUF_LOAD_UNLOAD.L_ABDOCKEN_FERTIG                         | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.L_GUELTIGEPARAMETER                       | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.L_HUBSPEED_HEBEN                          | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.L_HUBSPEED_SENKEN                         | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.L_ISTBELADEN                              | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.L_LOAD_EMPTY_DETECTED                     | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.L_NACHZIEHEN                              | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.L_PLATZSTAUSOK                            | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.L_READY_TO_DRIVE                          | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.L_SK_FREIGABEAGV                          | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.L_START_ABDOCKEN                          | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.L_TRANSPORTAKTIV                          | Typ: BOOL
Name: ABLAUF_LOAD_UNLOAD.L_Z_POS_FAHRFREIGABE_A                    | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.L_Z_POS_LIFT                              | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.L_Z_POS_TRANSFER_A                        | Typ: LREAL
Name: ABLAUF_LOAD_UNLOAD.SOLLGESCHWINDIGKEIT                       | Typ: DINT
Name: ABLAUF_LOAD_UNLOAD.STARTSTOPPV                               | Typ: DINT
Name: ABLAUF_LOAD_UNLOAD.STEP                                      | Typ: INT16
Name: ABLAUF_LOAD_UNLOAD.TON_ABDOCKEN_FREIGABE                     | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_ADD                                   | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_FTF_MOVE_BACKWARDS                    | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_KOLLISION                             | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_KOLLISION_ENDE                        | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_PLATZ_AUSRICHTEN                      | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_PLATZ_BELEGT_KORREKT                  | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_PLATZ_FEHLER                          | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_PLATZ_LEER                            | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_PLATZ_NACHLAUF                        | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_START_RAMPE                           | Typ: TON_SS
Name: ABLAUF_LOAD_UNLOAD.TON_START_TASTER_LIFT                     | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_STOPP                                 | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_STOPP_NACHZIEHEN                      | Typ: TON
Name: ABLAUF_LOAD_UNLOAD.TON_TIMEOUT_TRANSPORT                     | Typ: TON
Name: CONCAT_MAX.COUNT                                             | Typ: INT16
Name: CONCAT_MAX.I                                                 | Typ: INT16
Name: CONCAT_MAX.INSTR                                             | Typ: ARRAY [1..80] OF STRING(255)
Name: CONCAT_MAX.OUTSTR                                            | Typ: STRING(255)
Name: DEBUG_LOGGING.DAUER1                                         | Typ: TIME
Name: DEBUG_LOGGING.L_BMS_ERRORWORD                                | Typ: WORD
Name: DEBUG_LOGGING.L_INDEX                                        | Typ: INT16
Name: DEBUG_LOGGING.TRIGGER_LOG                                    | Typ: ARRAY [0..20] OF D_TRIG
Name: EC_MASTER_ID_LESEN.A_NETID                                   | Typ: STRING(23)
Name: EC_MASTER_ID_LESEN.E_DEVICE_ID                               | Typ: UDINT
Name: EC_MASTER_ID_LESEN.GET_ECMASTER_NETID                        | Typ: IOF_GETDEVICENETID
Name: FEHLERSAMMLER.A_FEHLER                                       | Typ: BOOL
Name: FEHLERSAMMLER.A_FEHLERNUMMER                                 | Typ: EL_ERRORCODE
Name: FTF_ANGULAR_MOVE.A_BBUSY                                     | Typ: BOOL
Name: FTF_ANGULAR_MOVE.A_BDONE                                     | Typ: BOOL
Name: FTF_ANGULAR_MOVE.A_BFAIL                                     | Typ: BOOL
Name: FTF_ANGULAR_MOVE.E_BRESET                                    | Typ: BOOL
Name: FTF_ANGULAR_MOVE.E_BTRIGGER                                  | Typ: BOOL
Name: FTF_ANGULAR_MOVE.E_LRRELATIVE_GOAL                           | Typ: LREAL
Name: FTF_ANGULAR_MOVE.E_LRVELO                                    | Typ: LREAL
Name: FTF_ANGULAR_MOVE.ISTEP                                       | Typ: INT16
Name: FTF_ANGULAR_MOVE.L_MOVE                                      | Typ: BOOL
Name: FTF_LINEAR_MOVE.A_BBUSY                                      | Typ: BOOL
