Name: ABLAUF_LOAD_UNLOAD.E_FREIGABE_CONVEYOR | Group: 16448 | Offset: 764
Name: ABLAUF_LOAD_UNLOAD.E_HAND_BAND_LINKS | Group: 16448 | Offset: 791
Name: ABLAUF_LOAD_UNLOAD.E_HAND_BAND_RECHTS | Group: 16448 | Offset: 840
Name: ABLAUF_LOAD_UNLOAD.E_HAND_RUECKLAUF | Group: 16448 | Offset: 790
Name: ABLAUF_LOAD_UNLOAD.E_HAND_VORLAUF | Group: 16448 | Offset: 789
Name: ABLAUF_LOAD_UNLOAD.E_HUBSPEED_HEBEN | Group: 16448 | Offset: 824
Name: ABLAUF_LOAD_UNLOAD.E_HUBSPEED_SENKEN | Group: 16448 | Offset: 832
Name: ABLAUF_LOAD_UNLOAD.E_LADESCHALE_ERREICHT | Group: 16448 | Offset: 763
Name: ABLAUF_LOAD_UNLOAD.E_LAM_STATUS_BEREIT | Group: 16448 | Offset: 788
Name: ABLAUF_LOAD_UNLOAD.E_NACHPLATZ_FREI | Group: 16448 | Offset: 762
Name: ABLAUF_LOAD_UNLOAD.E_PLATZ_FREI | Group: 16448 | Offset: 761
Name: ABLAUF_LOAD_UNLOAD.E_PORT_ERKANNT | Group: 16448 | Offset: 710
Name: ABLAUF_LOAD_UNLOAD.E_PORT_SW_UPDATE | Group: 16448 | Offset: 711
Name: ABLAUF_LOAD_UNLOAD.E_SPEED | Group: 16448 | Offset: 768
Name: ABLAUF_LOAD_UNLOAD.E_SPEED_BEI_RAMPE | Group: 16448 | Offset: 776
Name: ABLAUF_LOAD_UNLOAD.E_SPEED_NACHLAUF | Group: 16448 | Offset: 772
Name: ABLAUF_LOAD_UNLOAD.E_TIMEOUT | Group: 16448 | Offset: 784
Name: ABLAUF_LOAD_UNLOAD.E_UNLOAD_LOAD_X_POS_R | Group: 16448 | Offset: 792
Name: ABLAUF_LOAD_UNLOAD.E_VORPLATZ_FREI | Group: 16448 | Offset: 760
Name: ABLAUF_LOAD_UNLOAD.E_Z_POS_FAHRFREIGABE_A | Group: 16448 | Offset: 808
Name: ABLAUF_LOAD_UNLOAD.E_Z_POS_HUBSAFE_A | Group: 16448 | Offset: 816
Name: ABLAUF_LOAD_UNLOAD.E_Z_POS_TRANSFER_A | Group: 16448 | Offset: 800
Name: ABLAUF_LOAD_UNLOAD.FN_HAND_VOR | Group: 16448 | Offset: 524
Name: ABLAUF_LOAD_UNLOAD.FN_HAND_ZURUECK | Group: 16448 | Offset: 527
Name: ABLAUF_LOAD_UNLOAD.GESCHWINDIGKEIT | Group: 16448 | Offset: 540
Name: ABLAUF_LOAD_UNLOAD.HAND_GESCHWINDIGKEIT | Group: 16448 | Offset: 520
Name: ABLAUF_LOAD_UNLOAD.L_ABDOCKEN_FERTIG | Group: 16448 | Offset: 708
Name: ABLAUF_LOAD_UNLOAD.L_GUELTIGEPARAMETER | Group: 16448 | Offset: 569
Name: ABLAUF_LOAD_UNLOAD.L_HUBSPEED_HEBEN | Group: 16448 | Offset: 612
Name: ABLAUF_LOAD_UNLOAD.L_HUBSPEED_SENKEN | Group: 16448 | Offset: 620
Name: ABLAUF_LOAD_UNLOAD.L_ISTBELADEN | Group: 16448 | Offset: 530
Name: ABLAUF_LOAD_UNLOAD.L_LOAD_EMPTY_DETECTED | Group: 16448 | Offset: 287
Name: ABLAUF_LOAD_UNLOAD.L_NACHZIEHEN | Group: 16448 | Offset: 709
Name: ABLAUF_LOAD_UNLOAD.L_PLATZSTAUSOK | Group: 16448 | Offset: 531
Name: ABLAUF_LOAD_UNLOAD.L_READY_TO_DRIVE | Group: 16448 | Offset: 286
Name: ABLAUF_LOAD_UNLOAD.L_SK_FREIGABEAGV | Group: 16448 | Offset: 570
Name: ABLAUF_LOAD_UNLOAD.L_START_ABDOCKEN | Group: 16448 | Offset: 571
Name: ABLAUF_LOAD_UNLOAD.L_TRANSPORTAKTIV | Group: 16448 | Offset: 568
Name: ABLAUF_LOAD_UNLOAD.L_Z_POS_FAHRFREIGABE_A | Group: 16448 | Offset: 596
Name: ABLAUF_LOAD_UNLOAD.L_Z_POS_LIFT | Group: 16448 | Offset: 628
Name: ABLAUF_LOAD_UNLOAD.L_Z_POS_TRANSFER_A | Group: 16448 | Offset: 604
Name: ABLAUF_LOAD_UNLOAD.SOLLGESCHWINDIGKEIT | Group: 16448 | Offset: 536
Name: ABLAUF_LOAD_UNLOAD.STARTSTOPPV | Group: 16448 | Offset: 532
Name: ABLAUF_LOAD_UNLOAD.STEP | Group: 16448 | Offset: 284
Name: ABLAUF_LOAD_UNLOAD.TON_ABDOCKEN_FREIGABE | Group: 16448 | Offset: 712
Name: ABLAUF_LOAD_UNLOAD.TON_ADD | Group: 16448 | Offset: 408
Name: ABLAUF_LOAD_UNLOAD.TON_FTF_MOVE_BACKWARDS | Group: 16448 | Offset: 660
Name: ABLAUF_LOAD_UNLOAD.TON_KOLLISION | Group: 16448 | Offset: 636
Name: ABLAUF_LOAD_UNLOAD.TON_KOLLISION_ENDE | Group: 16448 | Offset: 684
Name: ABLAUF_LOAD_UNLOAD.TON_PLATZ_AUSRICHTEN | Group: 16448 | Offset: 456
Name: ABLAUF_LOAD_UNLOAD.TON_PLATZ_BELEGT_KORREKT | Group: 16448 | Offset: 384
Name: ABLAUF_LOAD_UNLOAD.TON_PLATZ_FEHLER | Group: 16448 | Offset: 544
Name: ABLAUF_LOAD_UNLOAD.TON_PLATZ_LEER | Group: 16448 | Offset: 336
Name: ABLAUF_LOAD_UNLOAD.TON_PLATZ_NACHLAUF | Group: 16448 | Offset: 360
Name: ABLAUF_LOAD_UNLOAD.TON_START_RAMPE | Group: 16448 | Offset: 288
Name: ABLAUF_LOAD_UNLOAD.TON_START_TASTER_LIFT | Group: 16448 | Offset: 480
Name: ABLAUF_LOAD_UNLOAD.TON_STOPP | Group: 16448 | Offset: 432
Name: ABLAUF_LOAD_UNLOAD.TON_STOPP_NACHZIEHEN | Group: 16448 | Offset: 736
Name: ABLAUF_LOAD_UNLOAD.TON_TIMEOUT_TRANSPORT | Group: 16448 | Offset: 572
Name: CONCAT_MAX.COUNT | Group: 16448 | Offset: 21342
Name: CONCAT_MAX.I | Group: 16448 | Offset: 860
Name: CONCAT_MAX.INSTR | Group: 16448 | Offset: 862
Name: CONCAT_MAX.OUTSTR | Group: 16448 | Offset: 21344
Name: DEBUG_LOGGING.DAUER1 | Group: 16448 | Offset: 21812
Name: DEBUG_LOGGING.L_BMS_ERRORWORD | Group: 16448 | Offset: 21816
Name: DEBUG_LOGGING.L_INDEX | Group: 16448 | Offset: 21810
Name: DEBUG_LOGGING.TRIGGER_LOG | Group: 16448 | Offset: 21600
Name: EC_MASTER_ID_LESEN.A_NETID | Group: 16448 | Offset: 22056
Name: EC_MASTER_ID_LESEN.E_DEVICE_ID | Group: 16448 | Offset: 22052
Name: EC_MASTER_ID_LESEN.GET_ECMASTER_NETID | Group: 16448 | Offset: 21820
Name: FEHLERSAMMLER.A_FEHLER | Group: 16448 | Offset: 21818
Name: FEHLERSAMMLER.A_FEHLERNUMMER | Group: 16448 | Offset: 22080
Name: FTF_ANGULAR_MOVE.A_BBUSY | Group: 16448 | Offset: 22086
Name: FTF_ANGULAR_MOVE.A_BDONE | Group: 16448 | Offset: 22087
Name: FTF_ANGULAR_MOVE.A_BFAIL | Group: 16448 | Offset: 22104
Name: FTF_ANGULAR_MOVE.E_BRESET | Group: 16448 | Offset: 22085
Name: FTF_ANGULAR_MOVE.E_BTRIGGER | Group: 16448 | Offset: 22084
Name: FTF_ANGULAR_MOVE.E_LRRELATIVE_GOAL | Group: 16448 | Offset: 22088
Name: FTF_ANGULAR_MOVE.E_LRVELO | Group: 16448 | Offset: 22096
Name: FTF_ANGULAR_MOVE.ISTEP | Group: 16448 | Offset: 22082
Name: FTF_ANGULAR_MOVE.L_MOVE | Group: 16448 | Offset: 21819
Name: FTF_LINEAR_MOVE.A_BBUSY | Group: 16448 | Offset: 22110
Name: FTF_LINEAR_MOVE.A_BDONE | Group: 16448 | Offset: 22111
Name: FTF_LINEAR_MOVE.A_BFAIL | Group: 16448 | Offset: 22128
Name: FTF_LINEAR_MOVE.E_BRESET | Group: 16448 | Offset: 22109
Name: FTF_LINEAR_MOVE.E_BTRIGGER | Group: 16448 | Offset: 22108
Name: FTF_LINEAR_MOVE.E_LRRELATIVE_GOAL | Group: 16448 | Offset: 22112
